image_id,filename,folder_id,cvat_label,pak_jos,pak_handy,pak_aris,pak_legiso,pruning_count,underpruning_count,majority_vote
583,frame_000294_wovhyq,5,ragu,-,-,-,pruning,1,0,pruning
582,frame_000295_b9duiy,5,ragu,-,-,-,pruning,1,0,pruning
581,frame_000296_fkerxa,5,ragu,-,-,-,pruning,1,0,pruning
580,frame_000305_z9o3x3,5,ragu,-,-,-,pruning,1,0,pruning
579,frame_000306_mhrdp3,5,ragu,-,-,-,pruning,1,0,pruning
578,frame_000307_zxgctq,5,ragu,-,-,-,pruning,1,0,pruning
577,frame_000308_ejb1p1,5,ragu,-,-,-,pruning,1,0,pruning
576,frame_000330_kdxzsq,5,ragu,-,-,-,pruning,1,0,pruning
575,frame_000339_wrrkmz,5,ragu,-,-,-,underpruning,0,1,underpruning
574,frame_000520_mdllep,5,ragu,-,-,-,pruning,1,0,pruning
573,frame_000652_xyx4am,5,ragu,-,-,-,underpruning,0,1,underpruning
572,frame_000653_a913hn,5,ragu,-,-,-,underpruning,0,1,underpruning
793,2026-01-21_10-54_video-1_frame_000005_qubjiv,6,ragu,-,-,-,pruning,1,0,pruning
791,2026-01-21_10-54_video-1_frame_000079_oz24kz,6,ragu,-,-,-,pruning,1,0,pruning
792,2026-01-21_10-54_video-1_frame_000080_z6n3qv,6,ragu,-,-,-,pruning,1,0,pruning
790,2026-01-21_11-59_video-1_frame_000030_e8mrav,6,ragu,-,-,-,pruning,1,0,pruning
789,2026-01-21_11-59_video-1_frame_000031_earhrc,6,ragu,-,-,-,pruning,1,0,pruning
788,2026-01-21_11-59_video-1_frame_000032_jm53nq,6,ragu,-,-,-,pruning,1,0,pruning
787,2026-01-21_11-59_video-1_frame_000045_n5f4m9,6,ragu,-,-,-,underpruning,0,1,underpruning
786,2026-01-21_11-59_video-1_frame_000077_bbox1_vwxe2w,6,ragu,-,-,-,pruning,1,0,pruning
896,2026-01-21_09-43_video-1_frame_000020_mnz8i7,7,ragu,-,-,-,underpruning,0,1,underpruning
894,2026-01-21_09-43_video-1_frame_000022_aqbd94,7,ragu,-,-,-,underpruning,0,1,underpruning
893,2026-01-21_09-43_video-1_frame_000023_mghmmf,7,ragu,-,-,-,underpruning,0,1,underpruning
895,2026-01-21_09-43_video-1_frame_000055_dd06di,7,ragu,-,-,-,underpruning,0,1,underpruning
891,2026-01-21_09-43_video-1_frame_000056_ziw0mx,7,ragu,-,-,-,underpruning,0,1,underpruning
885,2026-01-21_09-43_video-1_frame_000057_mfyqf7,7,ragu,-,-,-,underpruning,0,1,underpruning
892,2026-01-21_09-43_video-1_frame_000095_bbox0_ntexkn,7,ragu,-,-,-,underpruning,0,1,underpruning
884,2026-01-21_09-43_video-1_frame_000096_vmgvr0,7,ragu,-,-,-,underpruning,0,1,underpruning
890,2026-01-21_09-43_video-1_frame_000126_vnqcrn,7,ragu,-,-,-,underpruning,0,1,underpruning
889,2026-01-21_09-43_video-1_frame_000156_dmvj0j,7,ragu,-,-,-,underpruning,0,1,underpruning
888,2026-01-21_09-43_video-1_frame_000169_cynvjd,7,ragu,-,-,-,pruning,1,0,pruning
886,2026-01-21_09-43_video-1_frame_000206_bbox0_ps2e90,7,ragu,-,-,-,pruning,1,0,pruning
887,2026-01-21_09-43_video-1_frame_000250_bbox0_akp8za,7,ragu,-,-,-,pruning,1,0,pruning
1027,2026-01-21_09-11_video-1_frame_000012_bbox0_nwtblb,8,ragu,-,-,-,pruning,1,0,pruning
1239,2026-01-21_09-11_video-1_frame_000012_bbox0_nwtblb,8,ragu,-,-,-,pruning,1,0,pruning
1026,2026-01-21_09-11_video-1_frame_000012_bbox1_kme41m,8,ragu,-,-,-,pruning,1,0,pruning
1238,2026-01-21_09-11_video-1_frame_000012_bbox1_kme41m,8,ragu,-,-,-,pruning,1,0,pruning
1024,2026-01-21_09-11_video-1_frame_000016_hb5onf,8,ragu,-,-,-,underpruning,0,1,underpruning
1236,2026-01-21_09-11_video-1_frame_000016_hb5onf,8,ragu,-,-,-,pruning,1,0,pruning
1025,2026-01-21_09-11_video-1_frame_000050_sxk0te,8,ragu,-,-,-,underpruning,0,1,underpruning
1237,2026-01-21_09-11_video-1_frame_000050_sxk0te,8,ragu,-,-,-,pruning,1,0,pruning
1023,2026-01-21_09-11_video-1_frame_000053_qenhfx,8,ragu,-,-,-,underpruning,0,1,underpruning
1235,2026-01-21_09-11_video-1_frame_000053_qenhfx,8,ragu,-,-,-,underpruning,0,1,underpruning
1022,2026-01-21_09-11_video-1_frame_000054_fgzyxj,8,ragu,-,-,-,underpruning,0,1,underpruning
1234,2026-01-21_09-11_video-1_frame_000054_fgzyxj,8,ragu,-,-,-,underpruning,0,1,underpruning
1021,2026-01-21_09-11_video-1_frame_000080_sci1c4,8,ragu,-,-,-,pruning,1,0,pruning
1233,2026-01-21_09-11_video-1_frame_000080_sci1c4,8,ragu,-,-,-,pruning,1,0,pruning
1020,2026-01-21_09-11_video-1_frame_000092_ct8gjl,8,ragu,-,-,-,underpruning,0,1,underpruning
1232,2026-01-21_09-11_video-1_frame_000092_ct8gjl,8,ragu,-,-,-,underpruning,0,1,underpruning
1019,2026-01-21_09-11_video-1_frame_000093_k5nnh6,8,ragu,-,-,-,underpruning,0,1,underpruning
1231,2026-01-21_09-11_video-1_frame_000093_k5nnh6,8,ragu,-,-,-,underpruning,0,1,underpruning
1013,2026-01-21_09-11_video-1_frame_000102_nkjejb,8,ragu,-,-,-,underpruning,0,1,underpruning
1225,2026-01-21_09-11_video-1_frame_000102_nkjejb,8,ragu,-,-,-,underpruning,0,1,underpruning
1018,2026-01-21_09-11_video-1_frame_000106_n9ed0d,8,ragu,-,-,-,underpruning,0,1,underpruning
1230,2026-01-21_09-11_video-1_frame_000106_n9ed0d,8,ragu,-,-,-,underpruning,0,1,underpruning
1017,2026-01-21_09-11_video-1_frame_000107_rtjghk,8,ragu,-,-,-,underpruning,0,1,underpruning
1229,2026-01-21_09-11_video-1_frame_000107_rtjghk,8,ragu,-,-,-,underpruning,0,1,underpruning
1016,2026-01-21_09-11_video-1_frame_000181_zmojzk,8,ragu,-,-,-,pruning,1,0,pruning
1228,2026-01-21_09-11_video-1_frame_000181_zmojzk,8,ragu,-,-,-,pruning,1,0,pruning
1015,2026-01-21_09-11_video-1_frame_000182_wzbtuf,8,ragu,-,-,-,pruning,1,0,pruning
1227,2026-01-21_09-11_video-1_frame_000182_wzbtuf,8,ragu,-,-,-,pruning,1,0,pruning
1014,2026-01-21_09-11_video-1_frame_000287_zuxiz3,8,ragu,-,-,-,underpruning,0,1,underpruning
1226,2026-01-21_09-11_video-1_frame_000287_zuxiz3,8,ragu,-,-,-,underpruning,0,1,underpruning
1012,2026-01-21_09-11_video-1_frame_000323_x9xjs4,8,ragu,-,-,-,pruning,1,0,pruning
1224,2026-01-21_09-11_video-1_frame_000323_x9xjs4,8,ragu,-,-,-,pruning,1,0,pruning
1011,2026-01-21_09-11_video-1_frame_000396_yhwfwx,8,ragu,-,-,-,underpruning,0,1,underpruning
1223,2026-01-21_09-11_video-1_frame_000396_yhwfwx,8,ragu,-,-,-,pruning,1,0,pruning
1341,2026-01-21_10-28_video-1_frame_000202_xqqczo,9,ragu,-,-,-,pruning,1,0,pruning
1340,2026-01-21_10-28_video-1_frame_000244_bbox0_onrpvh,9,ragu,-,-,-,pruning,1,0,pruning
1339,2026-01-21_10-28_video-1_frame_000245_exufsc,9,ragu,-,-,-,pruning,1,0,pruning
1338,2026-01-21_10-28_video-1_frame_000485_bbox0_jap0bf,9,ragu,-,-,-,pruning,1,0,pruning
